T0,T2,T1,lagT0,lagT1,lagT2
A,XXXBXXX,1111111,10,1,9
HANDS,XXFEETX,4444444,10,7,3
STORE,XXSHOPX,3333333,10,7,3
CURTAIN,XDRAPEX,4444444,10,3,7
CAT,XKITTEN,5555555,7,3,10
PONDER,XTHINKX,1111111,7,7,6
BAG,XXSACKX,9999999,10,7,3
STRAW,XXHAYXX,6666666,10,3,7
WEEDS,XROOTSX,1111111,7,7,6
PROMISE,XPLEDGE,5555555,10,7,3
PROFIT,XXLOSSX,9999999,10,7,3
DIRTY,XCLEANX,7777777,10,7,3
GRAPE,XRAISIN,6666666,7,7,6
TOLL,XXTAXXX,4444444,7,7,6
MATURE,XXAGEXX,2222222,7,3,10
EXAMS,XTESTSX,5555555,7,1,12
COUGH,XSNEEZE,2222222,10,3,7
KIND,XXMEANX,3333333,10,3,7
BASKET,XHAMPER,9999999,10,3,7
CHAMBER,XXROOMX,8888888,10,7,3
PUSH,XXPULLX,7777777,10,7,3
FLOOR,XXWALLX,9999999,7,7,6
ANGRY,XXMADXX,1111111,7,7,6
SALT,XPEPPER,5555555,7,1,12
PRESS,SQUEEZE,6666666,10,7,3
ENEMIES,FRIENDS,9999999,10,1,9
DAMAGE,XXHARMX,6666666,10,3,7
STAB,XKNIFEX,3333333,7,7,6
CUP,XSAUCER,7777777,10,1,9
BABY,XCHILDX,8888888,10,1,9
SLOPPY,XXNEATX,6666666,7,1,12
BEER,XXWINEX,0000000,10,7,3
BIG,XLARGEX,9999999,10,7,3
SHIP,XXBOATX,0000000,10,7,3
ANIMALS,XXZOOXX,5555555,10,3,7
TIME,XCLOCKX,1111111,10,3,7
HATCHET,XXAXEXX,3333333,7,3,10
EATING,XXFOODX,8888888,7,3,10
LECTURE,XSPEECH,2222222,10,1,9
WAGON,XXCARTX,8888888,7,3,10
KING,XQUEENX,7777777,7,1,12
JELLY,XXJAMXX,3333333,10,7,3
CHAIR,XTABLEX,2222222,7,3,10
WEAK,XSTRONG,2222222,7,3,10
SALAD,XXSOUPX,7777777,10,7,3
WOMAN,XXMANXX,0000000,7,3,10
LIPS,XTEETHX,6666666,7,7,6
SAND,XBEACHX,6666666,10,3,7
SCHOOL,ACADEMY,7777777,7,1,12
YOURS,XXMINEX,9999999,10,1,9
WHEAT,XGRAINX,3333333,7,3,10
GEM,XJEWELX,2222222,10,7,3
THIRSTY,XWATERX,8888888,10,1,9
PUNCH,XXHITXX,8888888,7,7,6
LIME,XLEMONX,4444444,7,3,10
RAZOR,XSHAVEX,0000000,7,1,12
EARTH,XWORLDX,5555555,7,7,6
ATLAS,XXMAPXX,1111111,10,7,3
GAMBLE,XXBETXX,5555555,7,3,10
BED,XSLEEPX,3333333,7,1,12
NINE,XXTENXX,3333333,10,3,7
PLATTER,XXTRAYX,7777777,10,7,3
CARS,XTRUCKS,5555555,7,7,6
TOBACCO,XSMOKEX,7777777,7,7,6
BLUE,XXSKYXX,2222222,10,7,3
KILL,XMURDER,6666666,7,3,10
BUTTER,XBREADX,0000000,10,3,7
LUNCH,XDINNER,8888888,10,7,3
BRASS,XBRONZE,6666666,10,3,7
ME,XXYOUXX,9999999,10,1,9
SHINGLE,XXROOFX,0000000,10,1,9
COUCH,XXSOFAX,9999999,7,7,6
NAME,ADDRESS,5555555,7,3,10
HIGH,XXLOWXX,6666666,7,7,6
JOG,XXRUNXX,3333333,7,1,12
WISH,XDREAMX,0000000,10,1,9
CHESS,XXPAWNX,8888888,7,1,12
CLEAR,XFOGGYX,1111111,7,3,10
WARM,XXHOTXX,3333333,10,7,3
SLEET,XXHAILX,6666666,10,7,3
APRIL,XXMAYXX,9999999,7,7,6
WET,XXDRYXX,5555555,10,3,7
FRUIT,XAPPLEX,9999999,7,7,6
PORK,XXBEEFX,2222222,7,1,12
LOVE,XXHATEX,3333333,7,3,10
MINUTE,XXHOURX,6666666,10,1,9
SICK,XXWELLX,0000000,7,1,12
RIVER,XSTREAM,7777777,10,3,7
PRAY,XXGODXX,4444444,10,7,3
BLACK,XWHITEX,8888888,7,1,12
LAKE,XXPONDX,3333333,10,7,3
GLUE,XSTICKX,3333333,7,3,10
EYES,XXNOSEX,9999999,7,7,6
TABLET,XXPILLX,7777777,7,3,10
PUBLIC,PRIVATE,4444444,7,1,12
RIBBON,XXBOWXX,0000000,7,7,6
ROOSTER,XXHENXX,7777777,10,1,9
