T0,T2,T1,lagT0,lagT1,lagT2,reponseT1,reponseT2,related
HANDS,XXFEETX,5555555,7,3,10,f,j,1
STORE,XXSHOPX,2222222,7,3,10,j,j,1
CURTAIN,XDRAPEX,2222222,10,3,7,j,j,1
CAT,XKITTEN,2222222,7,7,6,j,j,1
PONDER,XTHINKX,9999999,7,7,6,f,j,1
BAG,XXSACKX,9999999,10,3,7,f,j,1
STRAW,XXHAYXX,5555555,10,3,7,f,j,1
WEEDS,XROOTSX,2222222,10,1,9,j,j,1
PROMISE,XPLEDGE,5555555,7,1,12,f,j,1
PROFIT,XXLOSSX,5555555,7,7,6,f,j,1
DIRTY,XCLEANX,6666666,10,7,3,j,j,1
GRAPE,XRAISIN,2222222,7,3,10,j,j,1
TOLL,XXTAXXX,5555555,7,1,12,f,j,1
MATURE,XXAGEXX,4444444,7,3,10,j,j,1
EXAMS,XTESTSX,7777777,10,7,3,f,j,1
COUGH,XSNEEZE,2222222,10,1,9,j,j,1
KIND,XXMEANX,4444444,10,3,7,j,j,1
BASKET,XHAMPER,4444444,7,3,10,j,j,1
CHAMBER,XXROOMX,8888888,10,7,3,j,j,1
PUSH,XXPULLX,7777777,10,1,9,f,j,1
FLOOR,XXWALLX,7777777,10,7,3,f,j,1
ANGRY,XXMADXX,9999999,7,7,6,f,j,1
SALT,XPEPPER,3333333,7,7,6,f,j,1
PRESS,SQUEEZE,2222222,7,7,6,j,j,1
ENEMIES,FRIENDS,4444444,7,1,12,j,j,1
DAMAGE,XXHARMX,7777777,10,1,9,f,j,1
STAB,XKNIFEX,5555555,10,3,7,f,j,1
CUP,XSAUCER,3333333,7,3,10,f,j,1
BABY,XCHILDX,5555555,10,7,3,f,j,1
SLOPPY,XXNEATX,4444444,7,3,10,j,j,1
BEER,XXWINEX,8888888,10,7,3,j,j,1
BIG,XLARGEX,5555555,7,7,6,f,j,1
SHIP,XXBOATX,8888888,7,3,10,j,j,1
ANIMALS,XXZOOXX,9999999,7,7,6,f,j,1
TIME,XCLOCKX,5555555,10,3,7,f,j,1
HATCHET,XXAXEXX,5555555,10,3,7,f,j,1
EATING,XXFOODX,4444444,7,7,6,j,j,1
LECTURE,XSPEECH,5555555,7,1,12,f,j,1
WAGON,XXCARTX,7777777,10,1,9,f,j,1
KING,XQUEENX,4444444,10,7,3,j,j,1
JELLY,XXJAMXX,8888888,7,1,12,j,j,1
CHAIR,XTABLEX,2222222,7,3,10,j,j,1
WEAK,XSTRONG,5555555,10,7,3,f,j,1
SALAD,XXSOUPX,7777777,10,3,7,f,j,1
WOMAN,XXMANXX,5555555,10,1,9,f,j,1
LIPS,XTEETHX,8888888,7,3,10,j,j,1
SAND,XBEACHX,9999999,7,7,6,f,j,1
SCHOOL,ACADEMY,5555555,7,3,10,f,j,1
YOURS,XXMINEX,2222222,10,1,9,j,j,1
WHEAT,XGRAINX,7777777,10,1,9,f,j,1
GEM,XJEWELX,3333333,10,3,7,f,j,1
THIRSTY,XWATERX,8888888,10,7,3,j,j,1
PUNCH,XXHITXX,3333333,7,3,10,f,j,1
LIME,XLEMONX,4444444,7,1,12,j,j,1
RAZOR,XSHAVEX,8888888,10,7,3,j,j,1
EARTH,XWORLDX,9999999,10,7,3,f,j,1
ATLAS,XXMAPXX,5555555,10,3,7,f,j,1
GAMBLE,XXBETXX,7777777,10,1,9,f,j,1
BED,XSLEEPX,9999999,10,3,7,f,j,1
NINE,XXTENXX,6666666,7,7,6,j,j,1
PLATTER,XXTRAYX,7777777,7,7,6,f,j,1
CARS,XTRUCKS,8888888,10,3,7,j,j,1
TOBACCO,XSMOKEX,2222222,10,7,3,j,j,1
BLUE,XXSKYXX,4444444,7,7,6,j,j,1
KILL,XMURDER,9999999,7,7,6,f,j,1
BUTTER,XBREADX,6666666,7,3,10,j,j,1
LUNCH,XDINNER,3333333,7,3,10,f,j,1
BRASS,XBRONZE,9999999,7,3,10,f,j,1
ME,XXYOUXX,6666666,10,3,7,j,j,1
SHINGLE,XXROOFX,6666666,10,1,9,j,j,1
COUCH,XXSOFAX,8888888,7,7,6,j,j,1
NAME,ADDRESS,5555555,10,3,7,f,j,1
