T0,T2,T1,lagT0,lagT1,lagT2,reponseT1,reponseT2,related
MANOS,XXPIESX,2222222,7,1,12,j,j,1
TIENDA,COMERCIO,8888888,7,3,10,j,j,1
CORTINA,XCOLCHA,3333333,10,1,9,f,j,1
PERRO,XXGATOX,5555555,10,1,9,f,j,1
SOPESAR,XPENSAR,7777777,7,7,6,f,j,1
BOLSA,XXSACOX,3333333,7,7,6,f,j,1
PAJA,XXHENOX,3333333,10,7,3,f,j,1
SEMILLA,XXRAÍZX,2222222,7,7,6,j,j,1
JURA,PROMETE,7777777,10,3,7,f,j,1
GANAR,XPERDER,3333333,7,3,10,f,j,1
SUCIO,XLIMPIO,2222222,7,3,10,j,j,1
UVA,XXPASAX,5555555,7,1,12,f,j,1
PEAJE,XXTASAX,7777777,7,1,12,f,j,1
GLOBO,XHELIOX,4444444,10,3,7,j,j,1
EXAMEN,XPRUEBA,2222222,7,7,6,j,j,1
TOS,XMOCOSX,2222222,10,7,3,j,j,1
AMABLE,GROSERO,7777777,10,3,7,f,j,1
CANASTA,XCESTAX,6666666,10,1,9,j,j,1
SALÓN,COMEDOR,5555555,7,3,10,f,j,1
EMPUJAR,XTIRARX,3333333,7,3,10,f,j,1
SUELO,XPAREDX,4444444,7,1,12,j,j,1
ENFADO,XFURIAX,7777777,10,1,9,f,j,1
SAL,XAZUCAR,8888888,10,1,9,j,j,1
TECLA,XBOTONX,4444444,10,3,7,j,j,1
ENEMIGO,XAMIGOX,7777777,10,1,9,f,j,1
HERIDA,XDOLORX,2222222,10,3,7,j,j,1
PUÑAL,XNAVAJA,4444444,7,3,10,j,j,1
TAZA,XTETERA,9999999,10,3,7,f,j,1
BEBÉ,XXNIÑOX,8888888,10,7,3,j,j,1
ORDEN,XXCAOSX,7777777,7,3,10,f,j,1
CERVEZA,XXVINOX,8888888,7,1,12,j,j,1
GRANDE,XENORME,7777777,7,1,12,f,j,1
BARCO,XXBOTEX,2222222,7,1,12,j,j,1
ANIMAL,XXZOOXX,5555555,10,7,3,f,j,1
TIEMPO,XRELOJX,3333333,7,1,12,f,j,1
HACHA,XXLEÑAX,6666666,7,7,6,j,j,1
COMIDA,PICOTEO,8888888,10,1,9,j,j,1
CHARLA,DISCURSO,2222222,10,1,9,j,j,1
VAGÓN,XXTRENX,6666666,7,3,10,j,j,1
REY,XREINAX,7777777,7,1,12,f,j,1
POSTRE,XDULCEX,6666666,7,7,6,j,j,1
SILLA,XXMESAX,4444444,10,7,3,j,j,1
DÉBIL,XFUERTE,6666666,10,3,7,j,j,1
ARROZ,XPAELLA,4444444,10,1,9,j,j,1
MUJER,XHOMBRE,5555555,10,7,3,f,j,1
LABIOS,DIENTES,5555555,7,7,6,f,j,1
ARENA,XPLAYAX,3333333,10,1,9,f,j,1
ESCUELA,COLEGIO,3333333,7,7,6,f,j,1
TUYO,XXMÍOXX,8888888,10,7,3,j,j,1
TRIGO,XGRANOX,8888888,7,7,6,j,j,1
GEMA,XXJOYAX,9999999,7,7,6,f,j,1
VASO,XXAGUAX,9999999,10,7,3,f,j,1
PUÑO,XGOLPEX,2222222,10,3,7,j,j,1
LIMA,XLIMÓNX,9999999,10,1,9,f,j,1
ESPUMA,AFEITAR,8888888,10,1,9,j,j,1
PLANETA,XTIERRA,4444444,7,7,6,j,j,1
ATLAS,XXMAPAX,6666666,10,7,3,j,j,1
JUEGO,APUESTA,6666666,10,1,9,j,j,1
CAMA,COLCHÓN,5555555,7,7,6,f,j,1
NUEVE,XXDIEZX,3333333,7,1,12,f,j,1
PLATO,BANDEJA,6666666,7,3,10,j,j,1
COCHE,XCAMION,5555555,7,7,6,f,j,1
TABACO,XCÁNCER,6666666,7,3,10,j,j,1
AZUL,XCIELOX,6666666,10,1,9,j,j,1
MATAR,XSANGRE,2222222,7,1,12,j,j,1
ACEITE,XXPANXX,3333333,7,1,12,f,j,1
COMIDA,XXCENAX,4444444,7,3,10,j,j,1
COBRE,XBRONCE,7777777,7,7,6,f,j,1
YO,XXXTÚXX,3333333,7,7,6,f,j,1
TEJA,XTEJADO,4444444,10,7,3,j,j,1
SILLON,XXSOFAX,9999999,10,3,7,f,j,1
NOMBRE,XXEDADX,9999999,7,1,12,f,j,1
ALTO,XXBAJOX,9999999,7,1,12,f,j,1
TROTAR,XCORRER,8888888,7,1,12,j,j,1
DESEO,XSUEÑOX,9999999,10,3,7,f,j,1
AJEDREZ,XXPEÓNX,9999999,10,7,3,f,j,1
SOLEADO,NUBLADO,4444444,7,3,10,j,j,1
CÁLIDO,XCALORX,9999999,10,7,3,f,j,1
NIEVE,GRANIZO,2222222,7,7,6,j,j,1
ABRIL,XXMAYOX,3333333,7,7,6,f,j,1
HÚMEDO,XXSECOX,6666666,10,1,9,j,j,1
FRUTA,MANZANA,7777777,7,7,6,f,j,1
CERDO,XPOLLOX,6666666,7,1,12,j,j,1
AMOR,XXODIOX,3333333,7,1,12,f,j,1
MINUTO,XXHORAX,5555555,7,7,6,f,j,1
ENFERMO,XXSANOX,8888888,10,1,9,j,j,1
RÍO,XARROYO,5555555,7,7,6,f,j,1
ORACIÓN,XXDIOSX,6666666,10,3,7,j,j,1
NEGRO,XBLANCO,2222222,10,3,7,j,j,1
PANTANO,XXLAGOX,7777777,10,1,9,f,j,1
PEGAR,XXUNIRX,9999999,7,7,6,f,j,1
OJOS,XNARIZX,3333333,10,1,9,f,j,1
JARABE,PÍLDORA,3333333,10,3,7,f,j,1
PÚBLICO,PRIVADO,8888888,7,7,6,j,j,1
CINTA,XXLAZOX,5555555,10,1,9,f,j,1
GALLO,GALLINA,6666666,10,7,3,j,j,1
JOVEN,XVIEJOX,3333333,10,3,7,f,j,1
BIEN,XXMALXX,7777777,10,3,7,f,j,1
PULGADA,XMETROX,4444444,10,1,9,j,j,1
BARRO,XXLODOX,4444444,10,7,3,j,j,1
RECIBIR,XENVIAR,7777777,10,7,3,f,j,1
ESTRÉS,TENSIÓN,7777777,7,1,12,f,j,1
REFRÁN,XDICHOX,7777777,10,7,3,f,j,1
